state,year,vehicle_segment,ice_vehicle_registrations,ev_vehicle_registrations,charging_stations,avg_ev_subsidy_rs,fuel_price_rs_per_litre,avg_income_index
Telangana,2021,2W,4866,681,339,50000,114.59,1.22
Karnataka,2019,2W,42122,9806,27,0,96.17,1.11
Tamil Nadu,2021,4W,84022,20450,398,25000,103.1,1.2
Punjab,2021,2W,130697,26680,818,50000,114.44,1.32
Delhi,2020,2W,96332,18661,342,25000,104.11,0.96
Delhi,2017,3W,29379,5354,426,25000,91.48,0.73
Karnataka,2024,3W,117899,8848,674,75000,95.7,1.37
Bihar,2018,3W,82315,4406,253,75000,102.46,0.57
Gujarat,2021,4W,33315,841,540,50000,99.65,1.48
Gujarat,2018,2W,76169,30611,538,100000,110.47,1.39
Assam,2019,4W,68627,10988,805,50000,107.85,1.37
Punjab,2024,2W,78511,9496,533,100000,114.2,1.42
Uttar Pradesh,2016,3W,127967,22305,204,100000,102.76,0.84
Jharkhand,2023,2W,70414,19800,97,75000,112.14,1.06
Jharkhand,2022,4W,112734,31337,60,25000,99.44,0.82
Rajasthan,2019,2W,95147,22084,547,100000,112.16,1.43
Assam,2022,3W,101790,5811,942,0,96.58,1.19
Haryana,2016,2W,100650,26887,405,50000,109.88,0.71
Bihar,2024,4W,97496,6368,1116,50000,108.81,1.35
Odisha,2020,2W,134430,24597,35,100000,110.72,1.37
Punjab,2024,3W,62719,7467,214,100000,90.33,0.55
Chhattisgarh,2019,4W,47081,11402,1019,100000,104.39,0.61
Uttar Pradesh,2021,4W,112951,11066,702,75000,98.24,1.16
Jharkhand,2018,3W,78986,3123,583,25000,96.2,1.43
Maharashtra,2024,3W,97275,5538,89,75000,95.54,0.62
Jharkhand,2018,4W,64996,17997,731,100000,106.92,1.42
Uttar Pradesh,2021,3W,66974,4326,140,25000,93.56,0.99
Punjab,2021,2W,59164,9877,441,100000,110.61,0.89
West Bengal,2018,4W,6181,689,205,25000,96.53,1.13
Uttar Pradesh,2018,3W,87156,2413,10,0,90.58,1.09
Delhi,2024,2W,71640,8109,207,50000,94.08,1.08
West Bengal,2018,3W,113956,9110,238,75000,105.53,1.24
Uttar Pradesh,2024,3W,76205,24440,935,25000,94.83,0.65
Telangana,2018,4W,73078,3999,1020,0,107.75,0.76
Tamil Nadu,2018,2W,100716,12036,1043,25000,92.67,0.68
Telangana,2017,3W,33227,4719,353,100000,114.72,1.37
Uttar Pradesh,2016,2W,108817,20169,18,100000,94.34,1.15
Odisha,2022,2W,117184,13479,110,75000,110.65,0.63
Karnataka,2018,3W,69960,7342,16,75000,102.58,0.8
Maharashtra,2020,3W,90117,0,515,0,114.5,0.99
Haryana,2022,2W,105868,26970,16,25000,102.77,1.18
Tamil Nadu,2023,3W,78253,5232,476,0,90.45,0.83
Maharashtra,2019,4W,68490,2215,760,0,101.94,0.68
Karnataka,2017,4W,97530,9104,19,25000,99.11,0.85
Madhya Pradesh,2021,2W,78247,8153,212,100000,114.1,0.51
Uttar Pradesh,2018,2W,68243,15337,607,50000,90.63,1.23
Bihar,2017,2W,110056,13995,980,100000,104.69,0.54
Madhya Pradesh,2022,2W,90442,2278,408,0,111.39,1.25
Odisha,2016,4W,67695,28661,448,25000,106.03,1.28
Bihar,2023,4W,29648,5134,360,0,108.57,1.06
Punjab,2022,3W,86048,257,536,75000,101.52,0.61
Delhi,2022,2W,91536,6324,235,75000,96.13,0.71
Odisha,2018,3W,103287,21418,137,50000,111.1,1.12
Rajasthan,2024,4W,47847,12139,199,50000,98.61,1.09
Maharashtra,2016,4W,73913,14686,123,50000,109.58,0.56
Madhya Pradesh,2023,2W,142785,40360,694,25000,101.8,0.61
Telangana,2022,2W,103712,3913,445,75000,104.01,0.73
Odisha,2018,2W,107311,0,216,0,106.39,1.48
Rajasthan,2019,3W,64862,13060,289,0,96.17,0.67
Maharashtra,2020,3W,83766,23041,154,0,102.48,1.43
Odisha,2020,2W,62733,1772,156,25000,114.83,0.89
Delhi,2022,3W,57840,7808,681,50000,95.1,0.62
Kerala,2017,4W,77480,15316,693,25000,93.32,0.57
Bihar,2018,3W,38391,4675,868,75000,102.96,0.68
West Bengal,2024,3W,74874,6988,977,75000,102.53,1.28
Odisha,2016,3W,81105,15898,326,25000,108.98,0.64
Telangana,2020,2W,92830,19475,613,100000,108.93,0.76
Karnataka,2020,3W,39907,0,587,0,95.64,1.47
Jharkhand,2021,3W,76643,18007,624,0,96.39,0.67
Chhattisgarh,2024,3W,60080,12497,190,0,92.44,1.07
Tamil Nadu,2023,4W,85725,15811,10,100000,108.6,1.43
Rajasthan,2018,3W,73194,10084,133,25000,97.88,0.86
Karnataka,2018,3W,96621,13376,484,100000,113.79,0.98
Madhya Pradesh,2023,3W,28835,0,339,50000,100.83,0.75
Telangana,2017,3W,52970,9963,550,25000,114.49,0.92
Madhya Pradesh,2020,3W,118745,11189,169,75000,108.42,1.16
Punjab,2019,4W,101169,16502,207,75000,106.46,1.05
Telangana,2023,4W,114248,3948,758,0,96.55,1.38
Uttar Pradesh,2021,3W,120915,23002,218,100000,98.32,0.66
Haryana,2019,3W,76449,16848,796,25000,92.21,1.12
Odisha,2024,4W,91448,20332,91,0,112.18,0.92
Telangana,2023,2W,83494,15744,645,25000,110.41,1.49
Chhattisgarh,2022,4W,65542,9842,783,50000,108.71,1.44
Tamil Nadu,2016,2W,78053,13071,39,100000,97.96,0.99
Punjab,2019,4W,64515,10087,730,50000,109.32,1.07
Punjab,2023,4W,50025,4298,35,50000,92.4,1.45
Uttar Pradesh,2017,3W,88695,2731,254,50000,90.15,1.3
Madhya Pradesh,2021,4W,107700,36369,199,100000,97.17,0.64
Maharashtra,2016,4W,63565,21823,340,25000,104.51,1.23
Jharkhand,2024,2W,68367,16995,228,50000,94.58,0.84
Odisha,2016,3W,104037,28352,320,75000,91.06,1.34
Odisha,2017,3W,69072,8147,35,25000,109.74,0.75
Bihar,2024,4W,53737,8560,107,50000,95.28,0.87
Telangana,2019,3W,75679,17333,753,0,100.37,0.62
West Bengal,2022,2W,81329,0,80,100000,107.34,0.84
Bihar,2021,3W,118588,1833,697,50000,96.67,0.58
Odisha,2023,2W,135678,3335,678,75000,114.81,0.59
Madhya Pradesh,2022,4W,96604,46897,176,0,110.11,0.77
Haryana,2020,4W,73992,7672,787,0,90.82,0.81
Chhattisgarh,2021,4W,72002,4378,717,100000,94.96,1.36
Karnataka,2016,2W,69190,4048,717,75000,96.38,0.85
Jharkhand,2018,4W,69196,13092,347,0,95.94,0.57
Maharashtra,2024,3W,19619,582,429,50000,112.41,0.57
Karnataka,2023,4W,73833,9276,385,100000,113.82,0.59
West Bengal,2016,3W,35724,2234,855,25000,109.5,1.33
Haryana,2022,3W,111086,26713,163,0,93.37,1.01
Punjab,2016,2W,46912,8763,784,25000,103.3,1.25
Bihar,2020,3W,74184,5365,173,100000,103.7,1.38
Chhattisgarh,2019,2W,100281,0,573,0,102.15,0.69
West Bengal,2023,4W,64646,16755,1179,75000,92.22,1.14
Rajasthan,2016,3W,56914,14018,200,75000,108.92,1.41
Delhi,2024,2W,98672,0,392,25000,99.98,0.75
Uttar Pradesh,2022,3W,107514,29362,564,75000,113.26,0.57
Telangana,2017,4W,62889,19420,324,0,106.69,0.73
Chhattisgarh,2023,4W,93732,8974,530,100000,113.23,1.19
Odisha,2021,2W,93264,9273,657,100000,90.69,1.02
Punjab,2016,3W,72623,10182,66,75000,94.6,1.02
Rajasthan,2022,2W,60900,5359,1215,50000,99.68,0.67
Uttar Pradesh,2024,4W,54988,7605,255,100000,109.37,0.81
Chhattisgarh,2023,3W,72702,11498,199,0,112.91,1.41
Punjab,2021,2W,105223,5700,30,50000,109.96,1.43
Gujarat,2018,2W,79908,27226,48,75000,112.9,1.39
Karnataka,2020,4W,40070,9025,307,100000,114.13,0.51
Odisha,2017,4W,98358,6516,542,75000,100.19,1.13
Bihar,2016,3W,110712,24131,53,75000,112.23,1.31
Rajasthan,2018,2W,96767,17771,394,0,114.32,1.14
West Bengal,2018,4W,102381,0,887,0,103.62,1.43
Jharkhand,2019,4W,45341,992,658,100000,108.13,0.8
Uttar Pradesh,2024,4W,58674,29,960,0,96.45,1.25
Assam,2018,3W,85439,0,1002,0,114.27,0.99
Assam,2018,3W,99697,11610,567,50000,112.5,0.99
Rajasthan,2019,3W,127818,0,837,0,105.5,0.82
Bihar,2016,4W,91718,12877,470,75000,99.96,0.59
Kerala,2020,2W,72418,26853,890,75000,108.78,1.48
Kerala,2018,2W,53869,9522,528,25000,106.26,0.66
Assam,2019,2W,75731,17767,249,25000,104.15,1.09
Punjab,2020,4W,96444,2587,620,100000,108.42,1.08
Maharashtra,2017,3W,88459,11712,1114,50000,95.67,1.38
Odisha,2023,2W,151981,35409,363,75000,99.9,1.44
Uttar Pradesh,2017,4W,82526,13483,254,50000,102.89,0.76
Assam,2023,2W,84200,17068,327,0,108.03,0.8
Haryana,2020,4W,39783,3315,367,100000,92.6,0.8
Uttar Pradesh,2020,2W,59203,3723,920,100000,108.8,0.51
Chhattisgarh,2020,4W,100403,27588,934,25000,102.94,0.88
Karnataka,2018,4W,62414,16332,277,0,100.99,0.71
Bihar,2024,2W,48375,11682,576,75000,104.89,0.95
Jharkhand,2024,2W,99486,22657,885,75000,108.25,0.75
West Bengal,2020,4W,30793,2122,417,25000,114.69,0.59
Delhi,2021,4W,77667,1728,391,100000,109.21,1.18
Karnataka,2017,3W,107435,26964,621,50000,90.35,1.43
Gujarat,2024,2W,89800,15744,311,50000,97.88,0.61
Maharashtra,2019,3W,49101,4144,624,0,91.31,1.28
Delhi,2023,2W,86056,15570,605,100000,112.19,1.0
Gujarat,2022,4W,115869,23365,838,50000,104.52,1.23
Karnataka,2023,2W,83113,13275,358,25000,90.4,0.63
Maharashtra,2024,4W,64886,15586,210,100000,101.89,1.26
Karnataka,2024,4W,165862,13383,575,0,108.95,0.81
Bihar,2018,3W,69444,2739,297,25000,110.35,1.25
Chhattisgarh,2018,4W,38243,7960,538,75000,98.95,0.94
Assam,2018,4W,52468,16881,804,50000,106.21,0.76
Kerala,2024,3W,62779,15159,351,0,111.43,0.62
Maharashtra,2023,2W,69099,8372,302,100000,105.88,1.21
Chhattisgarh,2021,4W,83298,21029,11,25000,111.17,1.22
Bihar,2020,2W,43146,7677,64,0,105.8,0.66
Odisha,2024,2W,152794,41528,973,75000,93.64,1.11
Delhi,2022,2W,90191,22113,478,25000,102.99,1.44
Jharkhand,2022,3W,88373,12480,567,25000,98.84,0.88
Maharashtra,2024,2W,110002,21184,932,100000,100.04,1.14
Gujarat,2016,2W,67913,141,334,100000,90.44,0.98
Delhi,2023,2W,113685,23249,261,25000,102.53,1.27
Odisha,2019,4W,67946,14179,781,50000,111.54,0.93
Telangana,2020,2W,127879,20476,316,50000,113.97,0.51
West Bengal,2018,4W,56695,2284,277,50000,95.98,1.15
Punjab,2024,4W,113471,0,166,75000,98.68,0.61
Maharashtra,2017,2W,115185,10968,1004,0,94.09,0.57
Kerala,2018,3W,29594,3407,735,25000,98.76,1.38
Haryana,2019,3W,110052,25446,295,100000,113.95,1.41
Maharashtra,2017,2W,89447,19710,316,25000,100.23,1.18
Bihar,2021,2W,84322,2109,531,0,96.09,0.95
Uttar Pradesh,2024,3W,47987,11036,606,100000,94.13,1.39
Bihar,2022,4W,112622,12976,840,0,106.57,1.01
Madhya Pradesh,2022,4W,81178,8242,868,75000,94.17,1.28
Maharashtra,2018,3W,40529,1892,839,25000,112.97,1.27
West Bengal,2021,2W,132031,30056,521,50000,104.82,1.35
Karnataka,2021,3W,84066,6731,216,25000,101.5,1.34
Odisha,2020,4W,14772,1624,85,0,95.02,0.75
Assam,2023,3W,56156,10292,536,50000,91.09,0.63
Maharashtra,2019,3W,39161,791,110,50000,113.41,0.53
Chhattisgarh,2024,2W,134315,40196,244,0,106.78,1.47
Haryana,2023,3W,20702,3761,722,25000,111.42,0.59
Chhattisgarh,2021,3W,93551,3588,588,75000,106.6,0.6
Odisha,2018,2W,105614,10003,1098,25000,106.29,0.83
Madhya Pradesh,2022,2W,29875,9837,157,75000,99.9,0.87
West Bengal,2023,4W,85690,20546,808,100000,112.72,1.13
Chhattisgarh,2022,3W,111346,9083,80,100000,108.69,0.63
Tamil Nadu,2018,3W,79588,16299,295,100000,109.25,1.29
Kerala,2023,4W,101699,11107,733,25000,107.72,1.08
Gujarat,2016,3W,95600,17473,317,25000,107.26,0.81
Chhattisgarh,2022,2W,90719,28758,108,25000,92.92,0.72
Odisha,2018,2W,107320,7890,769,75000,90.06,1.5
Odisha,2022,2W,98406,3519,549,75000,109.98,1.48
Odisha,2018,2W,101183,16978,832,50000,99.09,0.98
West Bengal,2018,4W,85601,14386,593,100000,101.92,0.81
Assam,2019,2W,113209,6536,137,50000,111.09,0.55
Assam,2023,3W,77831,17137,590,100000,112.4,0.94
Chhattisgarh,2023,4W,59374,12962,334,75000,97.38,0.93
Bihar,2018,3W,67117,0,1120,75000,105.93,1.08
Maharashtra,2020,2W,54346,9326,469,25000,99.8,0.72
Telangana,2024,2W,128118,23717,508,0,100.21,1.43
Chhattisgarh,2020,4W,119363,20485,269,25000,98.55,0.57
Delhi,2021,2W,96724,2443,522,100000,113.92,1.3
Chhattisgarh,2019,4W,68304,4091,384,0,101.63,0.89
Gujarat,2018,3W,47015,5736,183,0,101.2,1.4
Maharashtra,2016,2W,85726,17134,346,50000,90.45,1.42
Kerala,2016,4W,33361,5009,704,75000,97.03,0.59
West Bengal,2018,4W,40268,17522,567,0,101.31,0.96
Kerala,2019,2W,101914,40613,415,50000,93.54,1.19
Tamil Nadu,2019,3W,69775,0,811,0,109.96,0.83
Maharashtra,2019,4W,57170,9271,756,100000,110.06,1.38
Jharkhand,2021,2W,112110,23764,639,100000,98.64,0.84
Jharkhand,2018,2W,16728,3791,381,100000,93.84,1.14
Assam,2022,4W,104605,14433,363,50000,110.19,0.8
West Bengal,2020,2W,155322,40635,491,25000,100.17,1.11
Kerala,2016,3W,117785,32094,730,100000,106.71,1.25
Gujarat,2016,4W,73168,25849,601,25000,90.77,1.49
Madhya Pradesh,2021,2W,66970,13434,791,0,114.17,1.11
Jharkhand,2022,3W,82651,6942,253,100000,101.49,1.27
Delhi,2020,4W,37915,0,618,100000,97.55,1.04
West Bengal,2018,4W,55028,3432,277,100000,91.28,0.84
Karnataka,2021,3W,116383,30520,648,100000,114.05,1.25
Gujarat,2016,2W,27770,2453,596,75000,102.75,1.18
Haryana,2019,4W,51983,3881,163,0,97.3,1.3
Bihar,2022,3W,91397,3185,521,0,91.6,0.68
Chhattisgarh,2022,4W,60923,7216,261,50000,98.59,1.33
Jharkhand,2018,4W,75696,10634,983,50000,97.37,1.1
Maharashtra,2020,2W,106709,9002,856,50000,103.13,0.65
Jharkhand,2020,2W,48042,2570,1004,25000,107.75,1.26
Punjab,2019,2W,101578,13821,292,25000,97.38,0.57
Jharkhand,2021,3W,133288,2181,333,0,105.98,1.08
Maharashtra,2016,3W,52611,9516,617,75000,114.14,1.1
Jharkhand,2019,4W,103194,19871,649,25000,102.51,0.77
Tamil Nadu,2023,3W,103262,18640,624,0,110.95,0.64
Madhya Pradesh,2022,2W,58402,0,794,100000,91.95,0.91
Uttar Pradesh,2016,2W,45968,14190,476,50000,112.3,0.84
Tamil Nadu,2019,4W,144694,27574,386,75000,102.7,0.73
Rajasthan,2019,3W,100897,35252,547,0,92.14,1.37
Rajasthan,2020,4W,83233,12656,381,25000,98.38,1.38
Kerala,2020,3W,89434,0,639,75000,112.64,0.59
Kerala,2024,4W,143993,16181,58,0,104.08,1.21
Telangana,2023,3W,100322,32350,738,0,96.4,1.33
Bihar,2024,3W,88562,13023,480,25000,94.51,1.06
Madhya Pradesh,2021,2W,72384,16733,236,0,112.05,0.71
Jharkhand,2022,3W,52181,0,385,0,95.78,1.17
Tamil Nadu,2023,4W,37067,11065,498,0,97.82,1.01
Assam,2021,2W,84345,11975,110,75000,96.82,0.58
Madhya Pradesh,2018,4W,82618,12606,358,100000,98.43,1.46
Haryana,2017,3W,94183,9148,180,50000,114.24,1.3
West Bengal,2019,3W,58733,17283,786,0,114.78,1.09
Tamil Nadu,2024,3W,116401,32391,360,100000,113.62,1.05
Maharashtra,2021,3W,88874,10761,527,100000,114.02,1.06
Tamil Nadu,2017,3W,99671,15884,537,75000,90.47,0.74
Telangana,2020,4W,86776,27304,18,100000,107.53,0.71
West Bengal,2021,2W,88093,15528,700,100000,110.32,0.72
Delhi,2022,2W,86419,13143,365,75000,109.35,1.29
Jharkhand,2016,2W,86442,27809,898,50000,102.36,1.1
Maharashtra,2019,2W,110055,11392,758,50000,103.08,0.51
Punjab,2020,2W,50422,10622,58,100000,90.59,0.98
Telangana,2016,2W,77106,0,29,100000,95.22,1.45
Assam,2018,2W,57614,11747,586,0,106.09,0.63
Assam,2016,4W,79506,0,218,25000,110.06,1.42
West Bengal,2022,2W,72707,6935,803,0,100.65,1.22
Madhya Pradesh,2024,3W,84739,16835,424,100000,101.38,1.3
Assam,2022,4W,105632,4461,375,50000,100.33,1.05
Maharashtra,2023,4W,77478,9044,390,100000,101.62,0.84
Maharashtra,2018,3W,33779,0,421,50000,111.2,0.66
Uttar Pradesh,2021,2W,71115,4413,1037,75000,114.21,0.57
Kerala,2022,4W,79001,22013,10,100000,99.06,1.42
Rajasthan,2019,4W,54964,2345,51,25000,109.03,1.29
Punjab,2022,2W,87299,8765,166,25000,96.62,0.55
Karnataka,2019,4W,78410,1448,274,75000,99.55,1.08
Kerala,2020,2W,100325,30039,744,100000,111.85,1.36
Chhattisgarh,2016,3W,91946,9529,306,75000,102.56,0.86
Karnataka,2024,4W,67932,5447,493,100000,100.47,0.51
Assam,2023,2W,81871,7077,983,100000,92.58,1.47
Uttar Pradesh,2016,4W,101918,24422,469,0,107.96,0.71
Tamil Nadu,2024,4W,95337,12351,193,50000,90.3,0.96
Madhya Pradesh,2017,2W,149692,28971,973,25000,90.65,1.04
Gujarat,2022,3W,113938,0,238,0,112.84,0.69
Delhi,2021,4W,99882,11964,612,50000,90.83,1.48
Assam,2021,4W,19091,3729,828,0,91.52,0.57
Punjab,2018,3W,26727,5002,903,25000,110.97,0.78
Uttar Pradesh,2017,2W,130402,38205,620,100000,102.27,1.33
West Bengal,2016,3W,91829,8066,450,75000,99.16,0.58
Uttar Pradesh,2018,2W,93011,21028,1115,50000,91.01,1.25
Madhya Pradesh,2023,4W,18516,6437,422,0,106.39,1.12
Jharkhand,2023,3W,108946,8411,432,50000,90.54,0.93
Telangana,2020,3W,119562,17015,14,0,101.55,0.74
Assam,2018,4W,61009,13254,303,25000,95.87,0.61
Tamil Nadu,2023,2W,84222,16979,742,50000,91.71,0.72
West Bengal,2017,4W,147665,23973,720,100000,101.01,0.75
Punjab,2019,4W,71887,3469,339,50000,104.62,0.98
Odisha,2023,3W,76775,15449,1100,75000,99.95,1.24
Gujarat,2022,2W,81126,8641,451,25000,109.78,0.64
Punjab,2022,2W,50706,9295,576,50000,94.37,1.42
Madhya Pradesh,2016,2W,78209,18463,422,75000,104.1,0.82
Tamil Nadu,2024,3W,121746,24207,297,0,90.03,1.08
Gujarat,2021,3W,69343,13624,774,100000,96.17,1.35
Bihar,2016,2W,27516,7223,51,75000,95.65,0.54
Chhattisgarh,2022,2W,153358,9414,928,50000,105.7,0.6
Karnataka,2022,2W,77924,19707,34,0,102.31,1.44
West Bengal,2022,2W,97311,14703,328,75000,109.53,1.28
Maharashtra,2021,2W,46606,10077,628,25000,107.56,1.14
Chhattisgarh,2017,4W,23707,0,1015,75000,100.17,0.65
Telangana,2016,4W,39768,0,385,100000,100.15,0.62
Delhi,2016,2W,88395,10222,381,100000,106.69,1.11
Karnataka,2017,2W,87739,11243,1047,0,96.75,1.16
Madhya Pradesh,2016,2W,42163,3890,933,50000,101.89,0.8
Gujarat,2016,4W,64958,0,183,50000,105.32,0.56
Punjab,2018,4W,110724,24294,146,25000,90.72,1.14
Bihar,2021,4W,68848,8473,16,75000,99.66,0.67
Haryana,2019,2W,12796,2739,88,100000,95.37,1.31
Uttar Pradesh,2022,2W,100605,25156,722,0,93.08,0.72
Assam,2022,2W,112916,19557,813,25000,95.82,1.02
Bihar,2021,3W,8330,1228,714,50000,100.26,1.17
Punjab,2020,3W,64228,9020,207,100000,91.23,0.52
Gujarat,2016,3W,109356,15636,536,50000,101.2,1.45
Assam,2020,4W,55473,7971,243,50000,92.38,1.35
Punjab,2019,4W,83239,20784,147,0,102.72,0.72
Delhi,2024,2W,56966,8725,596,100000,95.71,1.16
Delhi,2024,4W,15689,2318,302,75000,107.87,0.93
Haryana,2021,4W,89578,21540,545,25000,108.63,1.4
Kerala,2020,3W,98600,25706,546,75000,103.54,1.1
West Bengal,2018,2W,45813,6063,619,100000,109.68,1.25
Haryana,2018,2W,81334,1142,884,75000,94.24,0.72
Jharkhand,2016,3W,62026,14319,419,75000,97.3,0.95
West Bengal,2016,2W,60093,3953,128,75000,112.69,0.83
Delhi,2022,2W,96616,26634,810,50000,104.88,0.51
Assam,2022,2W,64142,9743,490,75000,101.16,0.91
Maharashtra,2020,3W,74981,9950,653,25000,104.0,0.8
Odisha,2022,2W,93909,15763,687,25000,109.92,0.5
Rajasthan,2021,2W,112005,15200,873,50000,106.44,0.65
Chhattisgarh,2021,2W,53317,6031,578,0,108.2,1.49
Haryana,2019,4W,139789,26468,563,0,90.16,1.41
Tamil Nadu,2023,2W,53923,0,478,0,99.85,1.35
Odisha,2023,2W,92043,26936,920,50000,95.57,1.03
Odisha,2016,3W,92864,8077,415,100000,92.63,0.64
Bihar,2016,3W,54430,9516,1073,25000,112.6,1.13
Uttar Pradesh,2020,3W,125532,9683,939,0,105.28,0.81
Rajasthan,2019,4W,94867,7059,437,50000,98.44,0.89
Kerala,2023,4W,45972,10424,861,50000,114.22,0.69
Karnataka,2022,3W,15145,5055,496,50000,105.64,0.86
Rajasthan,2017,4W,88695,15080,841,50000,106.57,1.15
Bihar,2016,3W,60551,7823,316,75000,111.22,1.11
Delhi,2017,4W,106852,27917,18,100000,106.14,1.21
Assam,2022,3W,68923,12749,462,50000,111.51,0.72
West Bengal,2019,3W,98481,15434,370,50000,98.12,1.48
West Bengal,2017,4W,85704,36051,294,25000,95.84,0.68
Rajasthan,2021,4W,72501,16789,714,100000,109.43,1.47
Jharkhand,2020,4W,79824,20165,738,100000,105.28,0.79
Bihar,2022,4W,75129,12544,506,0,111.24,0.78
Haryana,2023,2W,90454,11425,132,25000,106.87,1.41
Madhya Pradesh,2023,3W,112037,0,488,0,113.04,1.47
Assam,2020,2W,72763,6414,726,0,108.15,0.54
Delhi,2018,2W,101445,19648,811,0,98.79,0.67
Haryana,2022,3W,82243,7220,718,25000,98.65,1.21
Rajasthan,2019,2W,64333,23365,1108,100000,111.45,0.97
Jharkhand,2019,4W,67987,17087,447,25000,102.46,0.98
Rajasthan,2022,3W,41436,7371,899,50000,112.21,1.01
Karnataka,2018,4W,66381,7718,816,25000,90.5,1.02
Punjab,2019,2W,6059,1733,341,75000,110.75,1.18
Bihar,2022,4W,35222,4792,370,100000,98.91,1.42
Uttar Pradesh,2020,2W,108388,4905,811,75000,113.82,1.38
Jharkhand,2019,4W,77970,0,40,25000,97.31,1.48
Madhya Pradesh,2024,3W,93129,2087,1057,25000,102.5,0.6
Karnataka,2018,2W,84773,6532,171,25000,104.15,0.57
Maharashtra,2017,3W,85726,11810,578,0,91.79,0.67
Tamil Nadu,2022,4W,126856,12099,359,25000,113.22,0.8
Madhya Pradesh,2018,4W,30026,3052,624,50000,94.46,0.96
Kerala,2018,2W,89359,11564,536,50000,105.11,0.57
Jharkhand,2017,4W,62991,7996,1017,100000,108.08,1.33
Chhattisgarh,2018,4W,74675,0,257,0,90.01,1.46
Jharkhand,2021,3W,60581,7421,489,0,90.22,0.79
Punjab,2020,4W,99682,17675,847,50000,90.73,1.28
Gujarat,2022,2W,70642,12412,603,75000,110.52,1.06
Punjab,2022,4W,104113,1880,465,100000,101.92,1.15
Tamil Nadu,2019,4W,79580,4118,631,25000,100.78,1.46
Delhi,2016,2W,73392,17972,243,75000,90.88,0.8
Kerala,2019,2W,69771,6822,828,25000,93.59,1.1
Uttar Pradesh,2022,4W,51064,17226,824,25000,109.58,1.0
Gujarat,2023,3W,105246,4174,725,75000,96.76,0.59
Bihar,2019,2W,101773,13804,369,0,103.95,0.85
Odisha,2024,4W,65145,3214,1057,0,110.29,0.93
West Bengal,2022,3W,25729,5741,796,75000,99.93,0.78
Maharashtra,2023,2W,119106,24732,544,25000,93.32,1.3
Assam,2021,2W,126523,51981,531,25000,110.76,1.01
West Bengal,2016,3W,93602,21800,180,100000,113.08,1.34
Punjab,2018,4W,61618,3023,1308,100000,94.85,0.73
Kerala,2018,4W,99059,22835,771,50000,110.98,1.43
Tamil Nadu,2016,4W,103943,11168,591,75000,96.8,0.77
Kerala,2016,2W,83327,15931,558,75000,110.61,1.23
Telangana,2016,4W,124981,9049,689,75000,106.92,0.55
Jharkhand,2021,4W,102475,12434,1132,25000,114.04,1.11
Odisha,2023,3W,72080,7354,109,25000,98.65,1.39
Haryana,2016,3W,112996,6775,553,25000,97.77,0.58
Maharashtra,2016,2W,42093,7227,571,75000,91.48,0.8
Rajasthan,2024,4W,112841,0,830,50000,102.83,1.41
West Bengal,2020,3W,40123,1145,335,0,91.95,0.68
Kerala,2023,3W,108956,19506,51,50000,93.43,1.17
Jharkhand,2019,2W,64333,15901,729,100000,112.78,0.99
Rajasthan,2023,4W,112792,10307,422,100000,103.39,0.51
Assam,2020,4W,41405,5279,935,0,98.77,0.84
Telangana,2024,3W,47224,19653,639,0,105.5,0.52
Punjab,2021,2W,86829,7463,344,50000,97.44,0.63
Rajasthan,2018,3W,75269,13948,200,75000,103.05,1.08
Kerala,2019,2W,41897,0,293,25000,99.91,1.46
Madhya Pradesh,2020,3W,100530,9033,228,0,94.79,0.52
Gujarat,2017,2W,67922,3312,380,100000,114.62,1.18
Assam,2017,4W,119928,8739,683,0,110.94,1.45
Punjab,2020,4W,102902,4325,246,50000,101.88,0.6
Madhya Pradesh,2020,2W,112068,39671,793,0,112.9,1.04
Tamil Nadu,2018,4W,78322,19723,113,75000,90.76,1.28
Odisha,2018,2W,75822,0,548,25000,110.14,0.95
Chhattisgarh,2020,3W,101354,9870,378,50000,101.85,0.54
Uttar Pradesh,2018,3W,91420,25750,251,75000,95.93,0.62
Bihar,2024,4W,174742,36839,839,75000,107.4,1.35
Tamil Nadu,2024,4W,103043,19220,64,100000,99.0,1.46
Gujarat,2018,2W,96363,13771,728,75000,102.29,0.94
Chhattisgarh,2024,4W,108197,0,571,75000,112.61,1.29
Karnataka,2021,4W,70978,20270,562,100000,99.36,1.37
Kerala,2017,3W,65434,6556,618,100000,105.04,1.19
Karnataka,2022,4W,97007,41237,280,0,109.2,0.52
Rajasthan,2020,4W,57358,9438,954,50000,113.41,1.5
West Bengal,2020,3W,51749,16842,68,100000,92.48,1.08
Assam,2020,3W,76363,6710,738,0,100.49,1.05
Punjab,2024,3W,85407,11843,532,75000,105.99,0.88
Telangana,2022,2W,70497,18747,468,100000,94.12,0.73
Madhya Pradesh,2016,4W,2430,450,734,75000,112.93,0.73
Gujarat,2019,3W,84137,5441,350,0,113.19,0.9
Karnataka,2024,2W,121365,15423,186,100000,100.95,1.13
Gujarat,2022,2W,81069,19341,900,75000,92.98,0.8
West Bengal,2018,2W,97248,18022,708,0,93.88,1.05
Odisha,2021,3W,142211,22279,572,50000,101.23,1.33
Bihar,2024,3W,67727,872,664,50000,113.02,0.79
Punjab,2023,4W,180446,17181,115,100000,103.27,1.48
West Bengal,2021,3W,8433,2622,624,50000,110.45,0.67
Jharkhand,2021,2W,82216,16043,620,25000,107.27,1.16
